Start time;End time;Titel;Kunstenaar;Image;Description
1966;1966;BOTTEN MET SNEEUW;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/328/large/Botten-met-sneeuw.jpg?1373462178;
1966;1966;Feltra;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/291/large/feltra_SMAK_Dirk_Pauwels.jpg?1407502472;
1966;1966;Molly Peters;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/290/large/Panamarenko_-_Molly_Peters__1966Copyright_Brigitta_Callens.jpg?1407502390;
1966;1966;Magnetische schoenen;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/323/large/Untitled031.jpg?1373458417;
1966;1999;Scotch Gambit;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/817/large/panamarenko.jpg?1386233813;
1967;1967;Afwasbak;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/331/large/afwasbak.jpg?1373462520;
1967;1967;Zwitserse Fiets;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/020/369/large/PAN_ADD_023.jpg?1389775664;
1967;1967;Krokodillen;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/319/large/Untitled024.jpg?1373457897;
1967;1967;Motten in het riet;Panamarenko;;
1967;1967;Das Flugzeug;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/597/large/060.jpg?1376910058;
1967;1967;Walvis;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/022/359/large/PAN_AM_FOTO_1355.jpg?1397748809;
1967;1967;Hofkens;Panamarenko;;
1967;1967;Prova car;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/000/286/large/Panamarenko%20Prova%20Car,%201967%20collectie%20M%20HKA.JPG?1300264114;
1968;1968;Waterlab;Panamarenko;;
1968;1968;Meikever;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/339/large/Untitled008.jpg?1373464037;
1969;1969;Model for Portable Air Transport I;Panamarenko;;
1969;1969;Portable Air Transport I;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/541/large/_WIM4960BIS.jpg?1408354626;
1969;1971;The Aeromodeller;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/772/large/Untitled059.jpg?1386156666;
1969;1969;Europakruispunt;Luc Deleu;;
1969;1969;Ring Road;Luc Deleu;;
1970;1970;Versneller | Versneller n°13;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/002/028/large/P433.jpg?1310457631;
1970;1970;Luc Deleu says farewell to architecture;Luc Deleu;;
1970;1970;Les Nénuphars;Luc Deleu;;
1970;1970;LOGO;Luc Deleu;;
1970;1970;Mobile medium architecture promotion;Luc Deleu;;
1970;1970;Filmclub situations;Luc Deleu;;
1971;1971;Donderwolk;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/022/348/large/PAN_AM_FOTO_1360.jpg?1397747298;
1971;1971;Inkpot;Luc Deleu;;
1971;1971;Tribune diary;Luc Deleu;;
1971;1971;Flagging of the Cogels Osylei;Luc Deleu;;
1971;1971;Villa tournesol;Luc Deleu;;
1971;1971;Villa Verbaenen;Luc Deleu;;
1971;1971;Artworker Star;Luc Deleu;;
1972;1972;Meganeudon I;Panamarenko;;
1972;1972;U-Kontrol III;Panamarenko;;
1972;1972;Meikever (Salto Arte);Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/143/large/meikever_1975.jpg?1381151179;
1972;1972;Show;Luc Deleu;;
1972;1972;Mobile medium university;Luc Deleu;;
1972;1972;Proposals;Luc Deleu;;
1973;1973;Meganeudon;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/034/002/large/Panamarenko_Meganeudon_1973__photo_M_HKAcc.jpg?1480341200;
1973;1986;Helikopter;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/323/large/SG1L0694-Claudy_Kremer_-_Helikopter.JPG?1407830018;
1973;1973;Symmetries;Luc Deleu;;
1973;1973;Packed Antwerp;Luc Deleu;;
1973;1973;De Ooievaar;Luc Deleu;;
1973;1973;Van Erp House;Luc Deleu;;
1973;1973;De Skipper;Luc Deleu;;
1974;1974;Tweevleugels(vliegfiets);Panamarenko;;
1974;1988;Paradox;Panamarenko;;
1974;1974;Manure Heap;Luc Deleu;;
1974;1974;Set van 'Een land zoekt zijn evenwicht';Luc Deleu;;
1974;1974;Recyclage;Luc Deleu;;
1975;1975;Piewan;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/326/large/PIEWAN__SMAK_Dirk_Pauwels.jpg?1407830781;
1975;1975;Boutique Babylon;Luc Deleu;;
1975;1975;Cafetaria U.I.A.;Luc Deleu;;
1975;1975;De Wollewei;Luc Deleu;;
1976;1976;Umbilly I;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/774/large/umbillyI.jpg?1391594929;
1976;1976;Klik-Klak;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/018/315/large/Untitled007.jpg?1373457285;
1976;1977;Umbilly II;Panamarenko;;
1976;1976;Rothiers house with studio;Luc Deleu;;
1977;1977;PROPELLERLESS PEDAL DRIVEN PURE JET AIRCRAFT, TYPE ANTI-INDUCTION (flying wing);Panamarenko;;
1977;1977;Bentley House;Luc Deleu;;
1977;1977;Antwerp Caravan City;Luc Deleu;;
1977;1977;Borsbeek Psychiatric clinic;Luc Deleu;;
1977;1977;Situations Trouvées;Luc Deleu;;
1978;1978;The Aeromodeller;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/411/large/_WIM5836.jpg?1408008388;
1978;1978;Thermo Voltaic Energy Convertor Prototype;Panamarenko;;
1978;1978;Broken museum for broken art;Luc Deleu;;
1978;1978;Lego constructions;Luc Deleu;;
1978;1978;Proposals;Luc Deleu;;
1978;1978;Superposition;Luc Deleu;;
1978;1978;Original copy;Luc Deleu;;
1978;1978;De Group House;Luc Deleu;;
1978;1978;House Bekaert;Luc Deleu;;
1978;1978;Bird’s nest;Luc Deleu;;
1979;1979;Vliegende schotel;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/569/large/_WIM5089.jpg?1408452364;
1979;1979;Magnetische Velden;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/025/399/large/DSC_4453.jpg?1412253373;
1979;1979;Idée pour la transformation du chantier ‘Les Halles’ en paysage urbain en évolution;Luc Deleu;;
1979;1979;An example of a contemporary museum of visual arts;Luc Deleu;;
1979;1979;Last stone of Belgium;Luc Deleu;;
1979;1979;Neo-natural space;Luc Deleu;;
1979;1979;Hoogstraten elderly centre;Luc Deleu;;
1979;1979;Self supporting house;Luc Deleu;;
1979;1979;Project for a floating university;Luc Deleu;;
1980;1980;Vliegende Sigaar;Panamarenko;;
1980;1980;De eeuw van Kafka;Panamarenko;;
1980;1980;Orban planning manifesto;Luc Deleu;;
1980;1980;Luc Deleu manifesto to the board;Luc Deleu;;
1980;1980;Idea-design for a global centre for interracial communication;Luc Deleu;;
1980;1980;Scale and perspective;Luc Deleu;;
1980;1980;Big triumphal arch;Luc Deleu;;
1980;1980;Ready made housing;Luc Deleu;;
1981;1981;Gentils house;Luc Deleu;;
1981;1981;Mergits Flower Shop;Luc Deleu;;
1982;1982;Montevideo Entrance;Luc Deleu;;
1982;1982;Belgian highway sanitation;Luc Deleu;;
1982;1982;Antique shop and penthouse for bernard Blondeel;Luc Deleu;;
1983;1983;Golden triangle;Luc Deleu;;
1983;1983;Furka passhöhe;Luc Deleu;;
1983;1983;Two electricity pylons;Luc Deleu;;
1983;1983;Two small triumphal arch;Luc Deleu;;
1983;1983;Big triumphal arch;Luc Deleu;;
1983;1983;Golden gate;Luc Deleu;;
1983;1983;Arcade;Luc Deleu;;
1983;1983;Obelisk;Luc Deleu;;
1983;1983;Belgian gate;Luc Deleu;;
1983;1983;Museum of architecture;Luc Deleu;;
1984;1984;Grote Plumbiet;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/011/184/large/Panamarenko__0014_Grote_Plumbiet_1_1984__foto_Syb'l_S.-pictures.jpg?1343027734;
1984;1984;Rug Umbilly IV;Panamarenko;;
1984;1984;Doringboom;Panamarenko;;
1984;1984;Spiegelschijven;Panamarenko;;
1984;1984;Zilverschijf;Panamarenko;;
1984;1984;Papaver;Panamarenko;;
1984;1984;Rode rugzak;Panamarenko;;
1984;1984;Rugzakvlucht 4KW;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/090/916/large/pana4.png?1692352420;
1984;1984;Containers in Bulk;Luc Deleu;;
1985;1985;Rugzakvlucht;Panamarenko;;
1985;1985;MOCK-UP;Panamarenko;;
1985;1985;Promenade pier;Luc Deleu;;
1985;1985;Santa maria della scala;Luc Deleu;;
1985;1985;Towards Re-use;Luc Deleu;;
1985;1985;On the importance and unimportance of architecture;Luc Deleu;;
1985;1985;House Vandewalle;Luc Deleu;;
1985;1985;Ponte dell'Accademia;Luc Deleu;;
1985;1985;Pantacom container depot;Luc Deleu;;
1986;1986;Schelpvormige rugzak;Panamarenko;;
1986;1986;Cluster;Panamarenko;;
1986;1986;Gare Europe centrale;Luc Deleu;;
1986;1986;TGV Spectaculair boven Brussel;Luc Deleu;;
1986;1986;Crane Ballet;Luc Deleu;;
1986;1986;Big Card house cattle;Luc Deleu;;
1986;1986;Antique shop J. Dirven;Luc Deleu;;
1986;1986;SATO;Luc Deleu;;
1986;1986;Tent for Napoleon;Luc Deleu;;
1987;1987;Pastille motor n°2;Panamarenko;;
1987;1987;Pastille motor n°3;Panamarenko;;
1987;1987;Pastille motor n°5;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/918/large/Panamarenko__Pastille_Motor__1994_photo_Syb'l._S._Pictures.JPG?1386776267;
1987;1987;Tracés Régulateurs on Villa Schwob;Luc Deleu;;
1987;1987;Pictura Antiquairs nationaal;Luc Deleu;;
1988;1988;1 min. heli electric;Panamarenko;;
1988;1988;Cornerhouse A;Luc Deleu;;
1988;1988;ORBINO;Luc Deleu;;
1988;1988;Tonalité;Luc Deleu;;
1989;1989;Koude brug;Luc Deleu;;
1989;1989;Housing (&) the city - Barcelona towers;Luc Deleu;;
1989;1989;The illusion;Luc Deleu;;
1989;1989;Lamp posts in Bulk;Luc Deleu;;
1989;1989;Wind turbine bering strait;Luc Deleu;;
1989;1989;Sint-joost Academy;Luc Deleu;;
1989;1989;HST Hoog Catharijne;Luc Deleu;;
1990;1990;The Portuguese Man of War;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/292/large/Portuguese_Man_Of_War_-_sculptuur.jpg?1407504096;
1990;1990;ARCHAEOPTERYX II;Panamarenko;;
1990;1990;Antwerp, your next cruise stop!;Luc Deleu;;
1990;1990;Boat lift;Luc Deleu;;
1990;1990;De hef;Luc Deleu;;
1990;1990;Moscow forest;Luc Deleu;;
1990;1990;Antwerp X;Luc Deleu;;
1990;1990;Section d'or;Luc Deleu;;
1990;1990;Studs;Luc Deleu;;
1990;1990;Annie Gentils Gallery;Luc Deleu;;
1990;1990;Container bridge;Luc Deleu;;
1991;1991;BLAUWE ARCHAEOPTERIX;Panamarenko;;
1991;1991;Barada Jet;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/545/large/V1.jpg?1408355006;
1991;1991;Puk bot;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/469/large/_WIM4872.jpg?1408026010;
1991;1991;K2. The 7000-Meter High Flying Jungle and Mountain Machine;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/747/large/K2__tentoongesteld_bij_Deweer_Gallery.jpg?1409904612;
1991;1991;tumbling apartments/Barcelona stairs;Luc Deleu;;
1991;1991;A wall for MuHKA;Luc Deleu;;
1992;1993;K3 Jungle Flyer;Panamarenko;;
1992;1992;Barcelona pool;Luc Deleu;;
1992;1992;Around the world in 80 days 'Madrid-Weber-Madrid';Luc Deleu;;
1992;1992;Rietveld exhibition;Luc Deleu;;
1992;1992;Lux aeterna, 5000 lights;Luc Deleu;;
1992;1992;Antipodal World Map;Luc Deleu;;
1992;1992;Hotel Stok;Luc Deleu;;
1993;1993;Flip de fruitvlieg;Panamarenko;;
1993;1993;Heerlijckheid de Hollein (The Red House);Luc Deleu;;
1993;1993;Medical practice A.P.C.;Luc Deleu;;
1994;1994;Noordzee pedalo;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/056/826/large/550_295_200_FSImage_0_Noordzeepedalo__2_-d56e0b98857e123fa34f7327e9282270.png?1589401269;
1994;1994;Knikkebeen;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/021/896/large/PAN_AM_FOTO_1096.jpg?1396419607;
1994;1994;Usiebenpole;Luc Deleu;;
1994;1994;Construction X;Luc Deleu;;
1994;1994;Neu Bratislava;Luc Deleu;;
1995;1995;Bernouilli;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/702/large/028.jpg?1409664401;
1995;1995;The unadapted city;Luc Deleu;;
1995;1995;Halfweg;Luc Deleu;;
1995;1995;Takeitainer/Bambootainer;Luc Deleu;;
1995;1995;Project Uni Dufour;Luc Deleu;;
1996;1996;Super Pepto Bismo;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/025/465/large/2014_exhibition_view_Panamarenko_Universum_M_HKAphoto_clinckx27.jpg?1412862296;
1996;1996;Nova Zemblaya;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/179/large/panamanova.jpg?1381839906;
1996;1996;Bingbong;Luc Deleu;;
1996;1996;Housing generator;Luc Deleu;;
1996;1996;Seghers engineering N.V.;Luc Deleu;;
1996;1996;Zoom;Luc Deleu;;
1997;1997;Hazerug;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/546/large/Hazerug_detoure%C2%A6%C3%BC.jpg?1408355121;
1997;1997;Elleboog;Panamarenko;;
1997;1997;Katapult Max;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/324/large/panamarenko1.jpg?1407830275;
1997;1997;Bing of the Ferro Lusto X;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/091/137/large/2023_Panamarenko_Transport_F009.jpeg?1695129380;
1997;1997;MACBA Piece;Luc Deleu;;
1997;1997;De Meerminne;Luc Deleu;;
1997;1997;Fruit container;Luc Deleu;;
1997;1997;Cabinet of the minister-president of the Flemish community;Luc Deleu;;
1997;1997;Hotel Niebuur;Luc Deleu;;
1998;1998;Zip Bangalore;Panamarenko;;
1998;1998;Brikabrak;Luc Deleu;;
1998;1998;Dinkytown;Luc Deleu;;
1998;1998;Artificial horizon for Ostend;Luc Deleu;;
1998;1998;Pentagon square;Luc Deleu;;
1998;1998;Soleil du Nord;Luc Deleu;;
1998;1998;Cruise Terminal;Luc Deleu;;
1998;1998;Clinckx House and Studio;Luc Deleu;;
1998;1998;Casa Roja;Luc Deleu;;
1999;1999;Airo Pedalo n°9;Panamarenko;;
1999;1999;Octopus;Luc Deleu;;
1999;1999;Vipcity;Luc Deleu;;
1999;1999;World travels;Luc Deleu;;
1999;1999;Speybank;Luc Deleu;;
1999;1999;MAS;Luc Deleu;;
1999;1999;Villa Hermosa;Luc Deleu;;
1999;1999;Meulestede-Noord;Luc Deleu;;
1999;1999;Social housing Wevelgem;Luc Deleu;;
1999;1999;Veterinary science departmento for the university of antwerp;Luc Deleu;;
1999;1999;Ventilation chimney in Petuelring;Luc Deleu;;
2000;2000;Vliegend tapijt;Panamarenko;;
2000;2000;Raven's variable matrix;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/025/235/large/Panamarenko_Ran's_variable_matrix_photo_M_HKAclinckx3.jpg?1411996373;
2000;2000;Monocedo;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/544/large/18_Monocedo.jpg?1408354924;
2000;2000;Ghent university;Luc Deleu;;
2000;2000;Surfing sail;Luc Deleu;;
2000;2000;Telepolis;Luc Deleu;;
2000;2000;St. Camillus Boiler room;Luc Deleu;;
2001;2001;Bernouilli II;Panamarenko;;
2001;2001;Persis Clambatta II;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/025/402/large/DSC_4450.jpg?1412254125;
2001;2001;Super paradox;Panamarenko;;
2001;2001;THERMO PHOTOVOLTAIC ENERGY CONVERTOR;Panamarenko;;
2001;2001;Necropolis;Luc Deleu;;
2001;2001;Kennedy Belvédère;Luc Deleu;;
2001;2001;Brugge vismijn Boogaard;Luc Deleu;;
2001;2001;Office building in Rijswijk;Luc Deleu;;
2001;2001;Vertigo in Gent;Luc Deleu;;
2002;2002;EENDENBEK - KLEINE MAGNUSVLIEGER – PROTOTYPE;Panamarenko;;
2002;2002;Aragna;Panamarenko;;
2002;2002;Bing of the Ferro Lusto (model);Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/020/120/large/Deweer5.jpg?1387535704;
2002;2002;Papaver;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/457/large/zeppelin_detour_DEF.jpg?1408024334;
2002;2002;Sundial;Luc Deleu;;
2002;2002;Gielen-Briers House;Luc Deleu;;
2002;2002;Masson House;Luc Deleu;;
2003;2003;Bing II;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/024/547/large/BingII_orig.jpg?1408355292;
2003;2003;Pandadrum;Panamarenko;;
2003;2003;Pepto Bismo;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/025/271/large/PANAMARENKO_Pepto_Bismo.jpg?1412070642;
2003;2003;Donnariet;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/595/large/donnariet_1.jpg?1385044205;
2003;2003;The nautical mile;Luc Deleu;;
2003;2003;Container triangles;Luc Deleu;;
2003;2003;Urbi et Orbi;Luc Deleu;;
2003;2003;KMSKA;Luc Deleu;;
2003;2003;Montyplan;Luc Deleu;;
2003;2003;Parasite paradise;Luc Deleu;;
2003;2003;Bicycle and pedestrian bridge heist aan zee;Luc Deleu;;
2003;2003;Belpaire house;Luc Deleu;;
2004;2004;Vliegend eiland;Panamarenko;;
2004;2004;Brazil;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/175/large/Brazil.jpg?1381838958;
2004;2004;Hinky Pinky Prova Car;Panamarenko;https://s3.amazonaws.com/mhka_ensembles_production/assets/public/000/019/604/large/HPPC_3.jpg?1385048545;
2004;2004;Dageraadplaats;Luc Deleu;;
2004;2004;Middelheim promenade walk;Luc Deleu;;
2004;2004;Kromme hoek;Luc Deleu;;
2004;2004;Double deck quay with pv-cells;Luc Deleu;;
2004;2004;Ecoharbour;Luc Deleu;;
2004;2004;Waerzeggers- Van Cauwelaert house;Luc Deleu;;
2004;2004;Belle epoque centre;Luc Deleu;;
2005;2005;31 Reflections on architecture;Luc Deleu;;
2005;2005;The fifth facade;Luc Deleu;;
2005;2005;Solar umbrella;Luc Deleu;;
2005;2005;Petrol;Luc Deleu;;
2005;2005;Bowline;Luc Deleu;;
2005;2005;Kyoto I;Luc Deleu;;
2005;2005;V.RL.;Luc Deleu;;
2005;2005;Speybank XL;Luc Deleu;;
2005;2005;Kyoto 3;Luc Deleu;;
2006;2006;Orban space;Luc Deleu;;
2006;2006;Sluizen huis;Luc Deleu;;
2006;2006;Refuel Vespucci;Luc Deleu;;
2006;2006;Jacques Brel quay;Luc Deleu;;
2006;2006;Dolce Vita;Luc Deleu;;
2007;2007;Troubleyn;Luc Deleu;;
2007;2007;Spoornoord;Luc Deleu;;
2008;2008;Less is less;Luc Deleu;;
2008;2008;Royal Conservatory of Brussels;Luc Deleu;;
2009;2009;Under milk woord;Luc Deleu;;
2010;2011;Sector X;Luc Deleu;;
2010;2010;Brussels courthouse;Luc Deleu;;
2011;2011;Wuivende Krabben;Panamarenko;https://images.vrt.be/vrtnws_web/2021/11/24/ae6be503-4d33-11ec-b07d-02b7b76bf47f.jpg?width=1200&height=675;
2011;2011;Provincial House Antwerp;Luc Deleu;;
2011;2011;Matternhorn;Luc Deleu;;
